2023-07-24 16:06:43 | [INFO] | [MainThread] | root | FUNC: (AbstractDataSaverManager.py).__init__(33) | Cache instruments map exist
2023-07-24 16:06:43 | [INFO] | [MainThread] | root | FUNC: (AbstractDataSaverManager.py).download_cache_from_file(51) | Dict map has last pointer equals to 1243
2023-07-24 16:06:43 | [INFO] | [MainThread] | root | FUNC: (AbstractDataSaverManager.py)._create_tmp_batch_tables(240) | 
            TMP tables for batching has been created. Number of tables = (5),
            Size of one table is ((10, 7))  
            
2023-07-24 16:06:43 | [INFO] | [MainThread] | root | FUNC: (AbstractDataSaverManager.py)._create_tmp_batch_tables(240) | 
            TMP tables for batching has been created. Number of tables = (5),
            Size of one table is ((10, 7))  
            
2023-07-24 16:06:44 | [WARNING] | [MainThread] | root | FUNC: (TradingInterface.py).add_order_manager(335) | No order manager selected by configuration
2023-07-24 16:06:44 | [INFO] | [MainThread] | root | FUNC: (EmptyStrategy.py).__init__(18) | Use default strategy configuration
2023-07-24 16:06:44 | [INFO] | [Thread-5 (run_forever)] | root | FUNC: (HDF5NewDaemon.py)._connect_to_database(46) | Success connection to HDF5 database
2023-07-24 16:06:44 | [INFO] | [Thread-5 (run_forever)] | root | FUNC: (HDF5NewDaemon.py)._connect_to_database(46) | Success connection to HDF5 database
2023-07-24 16:06:44 | [WARNING] | [Thread-3] | root | FUNC: (TradingInterface.py).add_instrument_manager(328) | No instrument manager selected by configuration
2023-07-24 16:06:44 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._on_open(454) | Client start his work
2023-07-24 16:06:48 | [WARNING] | [Thread-3] | root | FUNC: (OrderBookSubscriptionLimitedDepth.py).make_new_subscribe_constant_depth_book(111) | Instrument ETH-PERPETUAL already subscribed
2023-07-24 16:06:48 | [WARNING] | [Thread-3] | websocket | FUNC: (_logging.py).warning(66) | websocket connected
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 1, 'result': 'ok', 'usIn': 1690204006071271, 'usOut': 1690204006071318, 'usDiff': 47, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1600-C.100ms'], 'usIn': 1690204006108506, 'usOut': 1690204006108659, 'usDiff': 153, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1600-P.100ms'], 'usIn': 1690204006171327, 'usOut': 1690204006171466, 'usDiff': 139, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1650-C.100ms'], 'usIn': 1690204006212647, 'usOut': 1690204006212742, 'usDiff': 95, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1650-P.100ms'], 'usIn': 1690204006266250, 'usOut': 1690204006266342, 'usDiff': 92, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1700-C.100ms'], 'usIn': 1690204006320779, 'usOut': 1690204006320978, 'usDiff': 199, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1700-P.100ms'], 'usIn': 1690204006372387, 'usOut': 1690204006372475, 'usDiff': 88, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1750-C.100ms'], 'usIn': 1690204006425196, 'usOut': 1690204006425288, 'usDiff': 92, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1750-P.100ms'], 'usIn': 1690204006479008, 'usOut': 1690204006479114, 'usDiff': 106, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1800-C.100ms'], 'usIn': 1690204006532361, 'usOut': 1690204006532556, 'usDiff': 195, 'testnet': False}
2023-07-24 16:06:48 | [INFO] | [Thread-3] | root | FUNC: (TradingInterface.py)._process_callback(438) | {'jsonrpc': '2.0', 'id': 42, 'result': ['trades.ETH-26JUL23-1800-P.100ms'], 'usIn': 1690204006584165, 'usOut': 1690204006584259, 'usDiff': 94, 'testnet': False}
