,swap,futures,put,put,put,put,put,put,put,put,put,put,put,put,put,put,put,put,put,put,put,put,put,put,put,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call,call
,0,0,200,400,500,600,700,800,900,1000,1100,1200,1300,1400,1450,1500,1550,1600,1650,1700,1750,1800,1825,1850,1875,1825,1850,1875,1900,1925,1950,1975,2000,2050,2100,2150,2200,2300,2400,2500,2600,2700,2800,2900,3000,3200,3400,3500,3600,3800,4000,4200,4500,5000,5500,6000,6500,7000,7500
tenor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-01 20:49:00,1816.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.01,0.0235,0.039,0.0055,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-03 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.003,0.0095,0.016,0.03,0.039,0.0115,0.0065,0.004,0.003,0.002,0.0015,0.0015,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.003,0.0065,0.015,0.0215,0.034,0.0325,0.017,0.0115,0.008,0.0055,0.0,0.003,0.0,0.0015,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-05 00:00:00,0.0,1817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.002,0.0045,0.009,0.018,0.0,0.033,0.0,0.0,0.0145,0.0,0.0075,0.0,0.004,0.0,0.0025,0.0015,0.0015,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-12 00:00:00,0.0,1817.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0015,0.0025,0.0035,0.0055,0.008,0.013,0.02,0.031,0.0,0.0455,0.0,0.0,0.028,0.0,0.019,0.0,0.0125,0.0,0.0085,0.006,0.004,0.003,0.0025,0.0015,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-19 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.002,0.0025,0.0035,0.005,0.007,0.0095,0.014,0.02,0.0285,0.04,0.0,0.055,0.0,0.0,0.0375,0.0,0.0275,0.0,0.02,0.0,0.0145,0.0105,0.008,0.0,0.005,0.003,0.002,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-26 00:00:00,0.0,1818.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0015,0.0015,0.003,0.0045,0.0,0.0085,0.0,0.0145,0.02,0.027,0.0365,0.0485,0.0,0.0635,0.0,0.0,0.0465,0.0,0.036,0.0,0.028,0.0,0.0215,0.0165,0.013,0.0,0.0085,0.006,0.0045,0.003,0.0025,0.002,0.0015,0.0015,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-30 00:00:00,0.0,1821.25,0.0,0.0,0.0,0.0,0.0015,0.002,0.0025,0.0035,0.005,0.007,0.0105,0.016,0.0,0.024,0.0,0.0365,0.0,0.054,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0485,0.0,0.0355,0.0,0.026,0.0195,0.015,0.0115,0.0095,0.0075,0.006,0.0,0.0045,0.0,0.0,0.0025,0.0,0.0,0.0015,0.0,0.0015,0.001,0.0,0.0,0.0,0.0,0.0
2023-07-28 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0025,0.004,0.0055,0.0085,0.012,0.017,0.0245,0.0,0.035,0.0,0.0505,0.0,0.0705,0.0,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.0845,0.0,0.0,0.0,0.066,0.0,0.051,0.0,0.04,0.032,0.0255,0.0205,0.017,0.014,0.0115,0.0095,0.008,0.006,0.0045,0.0,0.0035,0.003,0.0025,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-29 00:00:00,0.0,1829.75,0.0,0.0015,0.002,0.003,0.0045,0.0065,0.0095,0.0135,0.0185,0.025,0.034,0.046,0.0,0.061,0.0,0.08,0.0,0.1035,0.0,0.1305,0.0,0.0,0.0,0.0,0.0,0.0,0.123,0.0,0.0,0.0,0.1035,0.0,0.087,0.0,0.073,0.062,0.0525,0.045,0.0385,0.0,0.0,0.0,0.022,0.0,0.0,0.012,0.0,0.0,0.0075,0.0,0.0055,0.004,0.0035,0.0,0.0,0.0,0.0
2023-12-29 00:00:00,0.0,1838.75,0.0,0.0035,0.005,0.0075,0.0,0.014,0.0,0.0245,0.032,0.042,0.055,0.071,0.0,0.09,0.0,0.1125,0.0,0.138,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.1645,0.0,0.0,0.0,0.1445,0.0,0.1275,0.0,0.1125,0.0995,0.0885,0.079,0.0705,0.0,0.057,0.0,0.047,0.0,0.0,0.03,0.0,0.0,0.021,0.0,0.0155,0.0115,0.0095,0.0075,0.0065,0.0,0.0
2024-03-29 00:00:00,0.0,1852.0,0.0015,0.0065,0.0,0.01,0.0,0.0215,0.0,0.0365,0.0,0.0605,0.0,0.095,0.0,0.1165,0.0,0.141,0.0,0.168,0.0,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.2015,0.0,0.0,0.0,0.182,0.0,0.1645,0.0,0.149,0.1355,0.1235,0.1125,0.103,0.0,0.087,0.0,0.074,0.0,0.0,0.0515,0.0,0.0,0.038,0.0,0.0295,0.024,0.0205,0.0175,0.015,0.0135,0.012
